spatial_cell_id,risk_explanation
CELL_2595_15515,Risk category: CRITICAL. Very high forecasted violation count (3182/month).
CELL_2592_15515,Risk category: CRITICAL. High forecasted violation count (2112/month).
CELL_2596_15522,Risk category: CRITICAL. High forecasted violation count (1631/month).
CELL_2596_15521,Risk category: CRITICAL. High forecasted violation count (1580/month).
CELL_2586_15538,Risk category: CRITICAL. High forecasted violation count (1376/month); elevated risk due to road-crossing or footpath violations.
CELL_2594_15515,Risk category: CRITICAL. High forecasted violation count (1167/month).
CELL_2614_15517,Risk category: CRITICAL. High forecasted violation count (1063/month).
CELL_2602_15510,Risk category: CRITICAL. Moderate forecasted violation count (974/month).
CELL_2595_15514,Risk category: CRITICAL. Moderate forecasted violation count (843/month).
CELL_2596_15520,Risk category: CRITICAL. Moderate forecasted violation count (965/month).
CELL_2594_15509,Risk category: CRITICAL. Moderate forecasted violation count (687/month).
CELL_2599_15509,Risk category: CRITICAL. Moderate forecasted violation count (667/month).
CELL_2592_15516,Risk category: CRITICAL. Moderate forecasted violation count (622/month).
CELL_2601_15539,Risk category: CRITICAL. Moderate forecasted violation count (540/month).
CELL_2636_15535,Risk category: CRITICAL. Moderate forecasted violation count (535/month).
CELL_2601_15510,Risk category: CRITICAL. Moderate forecasted violation count (511/month).
CELL_2586_15537,Risk category: CRITICAL. Moderate forecasted violation count (490/month); elevated risk due to road-crossing or footpath violations.
CELL_2593_15515,Risk category: CRITICAL. Moderate forecasted violation count (506/month).
CELL_2607_15517,Risk category: CRITICAL. Moderate forecasted violation count (497/month).
CELL_2594_15510,Risk category: CRITICAL. Moderate forecasted violation count (483/month).
CELL_2599_15510,Risk category: CRITICAL. Moderate forecasted violation count (453/month).
CELL_2596_15519,Risk category: CRITICAL. Moderate forecasted violation count (444/month).
CELL_2599_15533,Risk category: CRITICAL. Moderate forecasted violation count (428/month); elevated risk due to road-crossing or footpath violations.
CELL_2601_15514,Risk category: CRITICAL. Moderate forecasted violation count (423/month).
CELL_2600_15535,Risk category: CRITICAL. Moderate forecasted violation count (406/month); elevated risk due to road-crossing or footpath violations.
CELL_2587_15539,Risk category: CRITICAL. Moderate forecasted violation count (421/month); elevated risk due to road-crossing or footpath violations.
CELL_2593_15514,Risk category: CRITICAL. Moderate forecasted violation count (338/month).
CELL_2591_15515,Risk category: CRITICAL. Moderate forecasted violation count (338/month).
CELL_2595_15521,Risk category: CRITICAL. Moderate forecasted violation count (334/month).
CELL_2595_15516,Risk category: CRITICAL. Moderate forecasted violation count (328/month).
CELL_2601_15538,Risk category: CRITICAL. Moderate forecasted violation count (309/month).
CELL_2599_15514,Risk category: CRITICAL. Lower forecasted violation count (300/month).
CELL_2598_15510,Risk category: CRITICAL. Lower forecasted violation count (294/month).
CELL_2600_15510,Risk category: CRITICAL. Lower forecasted violation count (264/month).
CELL_2599_15522,Risk category: CRITICAL. Lower forecasted violation count (254/month).
CELL_2568_15529,Risk category: CRITICAL. Lower forecasted violation count (253/month).
CELL_2588_15514,Risk category: CRITICAL. Moderate forecasted violation count (300/month).
CELL_2590_15508,Risk category: CRITICAL. Lower forecasted violation count (248/month).
CELL_2637_15536,Risk category: CRITICAL. Lower forecasted violation count (249/month).
CELL_2597_15510,Risk category: CRITICAL. Lower forecasted violation count (247/month).
CELL_2585_15535,Risk category: CRITICAL. Lower forecasted violation count (248/month).
CELL_2593_15507,Risk category: CRITICAL. Lower forecasted violation count (243/month).
CELL_2591_15540,Risk category: CRITICAL. Lower forecasted violation count (233/month).
CELL_2587_15538,Risk category: CRITICAL. Lower forecasted violation count (224/month).
CELL_2598_15532,Risk category: CRITICAL. Lower forecasted violation count (267/month).
CELL_2601_15509,Risk category: CRITICAL. Lower forecasted violation count (221/month).
CELL_2598_15514,Risk category: CRITICAL. Lower forecasted violation count (221/month).
CELL_2596_15514,Risk category: CRITICAL. Lower forecasted violation count (211/month).
CELL_2598_15517,Risk category: CRITICAL. Lower forecasted violation count (253/month).
CELL_2592_15543,Risk category: CRITICAL. Lower forecasted violation count (251/month).
